Plant_name,Light,Water,Fun_Fact,Sad_Plant,image_url
Calathea Freddie,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting, curling leaves, dry potting mix:
UnderwateredYellowing leaves, black base:
OverwateredLeaf spots:
Fungal inflection or mineral build up from tap water, use distilled water and water directly into surrounding potting soil",//cdn.shopify.com/s/files/1/0150/6262/files/calathea-freddie_6_1_2048x2048.jpg?v=1602185488
Calathea Medallion,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting, curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black base: 
 OverwateredLeaf spots: 
 Fungal inflection or mineral build up from tap water, use distilled water and water directly into surrounding potting soil",//cdn.shopify.com/s/files/1/0150/6262/files/calathea-medallion_01_2048x2048.jpg?v=1602186293
Calathea Pinstripe,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting, curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black base: 
 OverwateredLeaf spots: 
 Fungal inflection or mineral build up from tap water, use distilled water and water directly into surrounding potting soil",//cdn.shopify.com/s/files/1/0150/6262/files/calathea_pinstripe_2-4-067_2048x2048.jpg?v=1602186074
Calathea Rattlesnake,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting, curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black base: 
 OverwateredLeaf spots: 
 Fungal inflection or mineral build up from tap water, use distilled water and water directly into surrounding potting soil",//cdn.shopify.com/s/files/1/0150/6262/files/calathea_2048x2048.jpg?v=1602089195
Calla Lily,"Thrives in bright indirect to medium indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Discoloration or leaf tip burn: 
 Too much direct lightMushy stems and yellowing leaves, wet soil: 
 OverwateredDead flowers:  
 End of the current bloom cycle. Cut the dead foliage and let the plant go dormant for two months. After, place it in bright light and water normally to help restart the bloom cycle. If you don’t mind your Calla not reblooming, continue with regular care.",//cdn.shopify.com/s/files/1/0150/6262/files/calla-lily_2048x2048.jpg?v=1602186539
Christmas Cactus,"Thrives in bright indirect to medium indirect light. Not suited for intense, direct sun. 

Extended periods of low light in the fall will help encourage winter blooms.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Mushy leaves or black stems: 
 OverwateredWrinkling leaves, dry potting mix: 
 Thirsty plant, underwateredBlooms dropping:  
 Fluctuations in temperature, cold drafts, or roots drying out or becoming water-logged",//cdn.shopify.com/s/files/1/0150/6262/files/christmas-cactus_2048x2048.jpg?v=1602186772
Coffee Plant,Thrives in bright indirect light.,"Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",The occasional pruning will help the leafy Coffee Plant branch out into a bushier specimen.,"Yellowing leaves, mushy blackened base: 
 Overwatered, root rotWilting and curling leaves, dry potting mix: 
 Underwatered, thirsty plantBrown tips and edges of leaves: 
 Low humidity",//cdn.shopify.com/s/files/1/0150/6262/files/coffee-plant_2048x2048.jpg?v=1602186947
Dracaena,"Thrives in bright indirect light, but can tolerate medium to low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",Dracaena comes from the Ancient Greek word Drakaina meaning ‘female dragon’.,"Crispy or curling pale leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing leaves, wet potting mix: 
 Root rot, overwateredYellowing leaves, dry potting mix: 
 Soil compaction (aerate soil), and/or nutrient deficincy",//cdn.shopify.com/s/files/1/0150/6262/files/dracaena_2048x2048.jpg?v=1602187035
Echeveria,"Thrives in bright direct light, but can tolerate bright indirect light.","Water every 2–3 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",Most echeverias are pet friendly!,"Wrinkling leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing, mushy leaves: 
 Root rot, overwateredYellowing leaves, dry potting mix: 
 Soil compaction (aerate soil)Etiolation (weak stems, smaller leaves, pale color):  
 Not enough direct light",//cdn.shopify.com/s/files/1/0150/6262/files/echeveria_0fa2803d-5fb0-4e6c-bb2b-8b35ac134585_2048x2048.jpg?v=1602187139
Echeveria Lola,"Thrives in bright direct light, but can tolerate bright indirect light.","Water every 2–3 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Wrinkling leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing, mushy leaves: 
 Root rot, overwateredYellowing leaves, dry potting mix: 
 Soil compaction (aerate soil)Etiolation (weak stems, smaller leaves, pale color):  
 Not enough direct light",//cdn.shopify.com/s/files/1/0150/6262/files/echeveria-lola_2048x2048.jpg?v=1602189935
Echeveria Preta,"Thrives in bright direct light, but can tolerate bright indirect light.","Water every 2–3 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Wrinkling leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing, mushy leaves: 
 Root rot, overwateredYellowing leaves, dry potting mix: 
 Soil compaction (aerate soil)Etiolation (weak stems, smaller leaves, pale color):  
 Not enough direct light",//cdn.shopify.com/s/files/1/0150/6262/files/echeveria-preta_2048x2048.jpg?v=1602789334
Fittonia,Thrives in medium to bright indirect light.,"Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting plant, dry potting mix:  
 UnderwateredDry, shriveled leaves:  
 Low humidity, or too much sunYellowing leaves, mushy stems, wet potting mix:  
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/fittonia_2048x2048.jpg?v=1603295280
Fern,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Pale green leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing lower leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/fern_2048x2048.jpg?v=1602790781
Ficus,Thrives in bright indirect light. Can benefit from a few hours of direct sun depending on the species.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","Ficus are all known to have white, latexy sap within their stems – handle them with care when you clean their leaves (grooming they benefit from).","Yellow leaves, wet potting mix: 
 OverwateringCripsy, curling leaves: 
 Thirsty plant, underwatered or low humidity",//cdn.shopify.com/s/files/1/0150/6262/files/ficus_e9c66cf1-7d14-464c-8911-eed3f6756a9d_2048x2048.jpg?v=1603292807
Ficus Audrey,Thrives in bright indirect light to full sun. Can benefit from a few hours of direct sun.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","The Ficus Audrey, or Ficus Benghalensis, is the national tree of India. It is believed Buddha reached enlightenment under a Ficus tree.","Yellow leaves, wet potting mix: 
 OverwateringCripsy, curling leaves: 
 Thirsty plant, underwatered or low humidity",//cdn.shopify.com/s/files/1/0150/6262/files/ficus-audrey_2048x2048.jpg?v=1603294499
Fiddle Leaf Fig,Thrives in bright indirect light to full sun. Can benefit from a few hours of direct sun.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","In its native environment the Fiddle Leaf Fig, or Ficus lyrata, can grow over 40 feet tall.","Yellow leaves, wet potting mix: 
 OverwateringCripsy, curling leaves: 
 Thirsty plant, underwatered or low humidity",//cdn.shopify.com/s/files/1/0150/6262/files/fiddle-leaf-fig_2048x2048.jpg?v=1602791287
Golden Pothos,"Thrives in bright indirect light, but can tolerate medium to low indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","The Pothos can be easily propagated in water, just make sure to include a node or multiple on your cuttings.","Wilting plant dry potting mix: 
 Thirsty plant, underwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/golden-pothosl_2048x2048.jpg?v=1602791416
Haworthia,Thrives in bright indirect to direct light. Can tolerate more medium indirect light than other common succulents.,"Water every 2–3 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Leaves curling, dry potting mix: 
 Thirsty plant, underwateredYellowing leaves, wet potting mix: 
 Root rot, overwateredBrown or red leaf tips:  
 Underwatered, or soil compaction (aerate soil)",//cdn.shopify.com/s/files/1/0150/6262/files/haworthia-zebra_2048x2048.jpg?v=1602791549
Holiday Cactus,"Thrives in bright indirect to medium indirect light. Not suited for intense, direct sun. Extended periods of low light in the fall will help encourage winter blooms.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Mushy leaves or black stems:
OverwateredWrinkling leaves, dry potting mix:
Thirsty plant, underwateredBlooms dropping:
Fluctuations in temperature, cold drafts, or roots drying out or becoming water-logged",//cdn.shopify.com/s/files/1/0150/6262/files/christmas-cactus_2048x2048.jpg?v=1602186772
Holiday Wreath,Keep out of direct sunlight.,Spritz with water every 2-3 days. Do not allow your wreath to dry out completely.,"Expect some needle loss during transit from your handcrafted wreath. Simply shake off any loose needles and spritz with water upon arrival. This wreath is best suited for cooler, outdoor environments but can be used indoors if kept away from direct heat and sunlight. Wreath will remain fresh for 2-3 weeks indoors or 1-2 months outdoors.",,//cdn.shopify.com/s/files/1/0150/6262/files/wreath_2048x2048.jpg?v=1605551802
Hoya,Thrives in bright indirect light. Can benefit from a few hours of direct sun depending on the species.,"Water every 1–2  weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",Most hoyas are pet friendly!,"Wrinkling leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing and becoming mushy, wet potting mix: 
 Root rot, overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/hoya_2048x2048.jpg?v=1603292686
Hoya Heart,"Thrives in bright direct light, but can tolerate bright indirect light.","Water every 2–3 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Wrinkling leaves, dry potting mix: 
 Thirsty plant, underwateredYellowing and becoming mushy, wet potting mix: 
 Root rot, overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/hoya-heart_2048x2048.jpg?v=1602791657
Ivy,Thrives in medium to bright indirect light. Variegated species can tolerate a few hours of direct sun.,"Water weekly, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Yellowing, leaf drop: 
OverwateringBrown leaf edges: 
Low humidity, direct sun",//cdn.shopify.com/s/files/1/0150/6262/files/ivy_2048x2048.jpg?v=1603909731
Jade Pothos,"Thrives in bright indirect light, but can tolerate medium to low indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","The Pothos can be easily propagated in water, just make sure to include a node or multiple on your cuttings.","Wilting plant dry potting mix: 
 Thirsty plant, underwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/pothos-jade_2-2_2048x2048.jpg?v=1602791765
Majesty Palm,"Thrives in bright indirect light, but can tolerate medium indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Crispy edges, browning leaves, dry potting mix: 
 UnderwateredYellowing leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/majesty-palm_2048x2048.jpg?v=1602792493
Maranta,"Thrives in medium to bright indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Curling leaves, brown tips: 
 Not enough humidityWashed out coloring or brown blotches on leaves: 
 Too much direct sunYellowing leaves, rotting stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/maranta_2048x2048.jpg?v=1602792667
Marble Queen Pothos,"Thrives in bright indirect light, but can tolerate medium to low indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","The Pothos can be easily propagated in water, just make sure to include a node or multiple on your cuttings.","Wilting plant dry potting mix: 
 Thirsty plant, underwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/golden-pothosl_2048x2048.jpg?v=1602791416
Marimo Moss Ball,"Thrives in low to medium indirect light. Not suited for intense, direct sun.","Keep submerged in distilled or filtered cold water. Change water once every 1–2 weeks, depending on algae growth.",,"Brown spots or browning: 
 Fungal infection, too much algea, or exposure to direct sun",//cdn.shopify.com/s/files/1/0150/6262/files/marimo-moss-ball_2048x2048.jpg?v=1602792820
Money Tree Plant,Thrives in bright indirect to medium light.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Leaf drop: 
 Not enough sunlightYellowing leaves, black stems: 
 OverwateredCurling leaves, dry potting mix:  
 Underwatered",//cdn.shopify.com/s/files/1/0150/6262/files/money-tree_2048x2048.jpg?v=1602792905
Monstera Deliciosa,Thrives in bright indirect to medium light.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Leaves turning brown and crispy at the edges: 
 Thirsty plant, underwatered, or high salt build upWilting plant, dry potting mix: 
 Underwatered, or pot-boundYellowing leaves or black stems, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/monstera_2_6-052_2048x2048.jpg?v=1602793219
Monstera Ginny,Thrives in bright indirect to medium light.,"Water every 1–2 weeks, allowing soil to mostly dry out between waterings. Increase frequency with increased light",,"Minimal leaf splits: 
 Young plants start off with minimal splits, as they mature more will developBrown, crispy edges: 
 Underwatered, or high salt build up from tap waterYellowing leaves or black stems, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/monstera-ginny_2048x2048.jpg?v=1602793580
Norfolk Island Pine,Thrives in bright indirect to medium light. Can benefit from a few hours of direct sun.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Crisping, curling needles: 
 Thirsty plant, underwatered or low humidityNeedle drop: 
 Not enough light or thirstyYellowing or rotting stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/norfolk-island-palm_2048x2048.jpg?v=1602793677
Orchid,"Thrives in bright indirect light, but can tolerate medium indirect light. Direct sun tolerance is species dependant.","Water every 1–2 weeks, allowing potting medium to dry out between waterings. If kept in decorative, cache planter, pour out excess water after watering. Expect to water more often in brighter light and less often in lower light.",,"Wilting, wrinkling leaves: 
 UnderwateredYellowing leaves: 
 Overwatered, or too much sunWilting flowers: 
 Ending its yearly blooming cycle, storing up energy to re-bloom",//cdn.shopify.com/s/files/1/0150/6262/files/orchid_2048x2048.jpg?v=1602793890
Oxalis,Thrives in bright indirect light. Can handle a few hours of direct sun.,"Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",Oxalis exhibit a phenomenon known as nyctinasty. They move their leaves from day to night as a part of their circadian rhythm.,"Yellow leaves, mushy stems: 
 Overwatered, root rotWilting brown leaves, crispy edges: 
 Underwatered, low humidityNo new growth: 
 If plant goes dormant, lightly fertilize and provide bright light & water",//cdn.shopify.com/s/files/1/0150/6262/files/oxalis_2048x2048.jpg?v=1602793980
Parlor Palm,"Thrives in medium to bright indirect light, but can tolerate low indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Brown crispy tips: 
 Thirsty plant, low humidityYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/parlor-palm-plant_3_6_2048x2048.jpg?v=1602794139
Peace Lily,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is known for its air purifying capabilities and took part in NASA's 1989 Clean Air Study.,"Wilting plant or curling leaves, dry potting mix:  
 UnderwateredYellowing leaves, mushy black stems:  
 Overwatered ",//cdn.shopify.com/s/files/1/0150/6262/files/peace-lily_2048x2048.jpg?v=1603147005
Peperomia,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",Most peperomias are pet friendly!,"Wilting plant, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/peperomia-ripple-red_2048x2048.jpg?v=1603144331
Peperomia Marble,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Wilting plant, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/peperomia-marble_gallery_small_all_all_06_2048x2048.jpg?v=1603144009
Peperomia Obtusifolia,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Wilting plant, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/peperomia-green_all_01_2048x2048.jpg?v=1603143900
Philodendron,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","The genus name Philodendron derives from the Greek words 'philo', meaning love or affection, and 'dendron', meaning tree.","Wilting plant or curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/philodendron-silver-4-125_2048x2048.jpg?v=1603144990
Philodendron Green,"Thrives in medium indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","This species of Philodendron is a quick growing, trailing plant with heart shaped leaves.","Wilting plant or curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/philodendron-green_gallery_medium_all_all_01_2048x2048.jpg?v=1603144974
Pilea,"Thrives in bright direct light, but can tolerate bright to medium indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",Most pileas are pet friendly!,"Wilting plant or curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/pilea-2_2048x2048.jpg?v=1603145410
Pilea Peperomioides,"Thrives in bright direct light, but can tolerate bright to medium indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",This plant is pet friendly!,"Wilting plant or curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/pilea_2048x2048.jpg?v=1603145301
Poinsettia,Thrives in medium to bright indirect light. Not suited for direct sun.,"Water every 1-2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light. When thirsty, this plant will wilt.",The attractive “flowers” on the plant are known as specialized leaves known as bracts. The true flowers are actually the yellow petals in the center!,"Wilting leaves, dry potting mix:
Thirsty, underwateredYellowing leaves and mushy blackened base:
Root rot, overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/poinsettia_2048x2048.jpg?v=1603305325
Ponytail Palm,Thrives in bright indirect to direct light.,"Water every 1–2 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Leaves crisping, dry potting mix: 
 Thirsty plant, underwateredYellowing leaves, wet potting mix: 
 OverwateredBrown leaf tips:  
 Low humidity or soil compaction (aerate soil)",//cdn.shopify.com/s/files/1/0150/6262/files/ponytail-palm_2048x2048.jpg?v=1603145572
Pothos,"Thrives in medium to low indirect light. Not suited for intense, direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","The Pothos can be easily propagated in water, just make sure to include a node or multiple on your cuttings.","Wilting plant or curling leaves, dry potting mix: 
 UnderwateredYellowing leaves, black stems: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/golden-pothosl_2048x2048.jpg?v=1602791416
Satin Pothos,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",The Satin Pothos is not a true Pothos plant but a Scindapsus pictus. They are different genera but within the same family.,"Leaves curling, wilting: 
 UnderwateredYellowing leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/pothos-satin_2048x2048.jpg?v=1603145750
Sansevieria Moonshine,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 2–3 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",You might be surprised to know the Snake Plant is a drought tolerant succulent.,"Wrinkled leaves, dry potting mix: 
 Thirsty plant, underwateredMushy leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/snake-plant-moonshine_gallery_medium_all_all_02_2048x2048.jpg?v=1603145859
Snake Plant,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 2–3 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",You might be surprised to know the Snake Plant is a drought tolerant succulent.,"Wrinkled leaves, dry potting mix: 
 Thirsty plant, underwateredMushy leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/snake-plant-night-owl_all_01_2048x2048.jpg?v=1603146200
Snake Plant Laurentii,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 2–3 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",You might be surprised to know the Snake Plant is a drought tolerant succulent.,"Wrinkled leaves, dry potting mix: 
 Thirsty plant, underwateredMushy leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/snake-plant_2_laurentii-4-059_2048x2048.jpg?v=1603146085
Snake Plant Zeylanica,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 2–3 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",You might be surprised to know the Snake Plant is a drought tolerant succulent.,"Wrinkled leaves, dry potting mix: 
 Thirsty plant, underwateredMushy leaves, wet potting mix: 
 Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/snake-plant_2_zeylanica-4-032_2048x2048.jpg?v=1603145982
