Product_logo,Product_name,Product_title,Product_subtitle,rating_stars,number_of_ratings,price
https://ga0.imgix.net/logo/o/113735-1534414977-86161?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Spanning,"Backup and recovery for Office 365, G Suite, & Salesforce","Spanning is a cloud-to-cloud backup & recovery solution for G Suite, Office 365, & Salesforce. The platform aims to help businesses protect their data within the cloud in the event of user errors, malicious activity, security breaches or other disasters, & provides automatic & manual backup options.",4.24,17,$48
https://ga0.imgix.net/logo/o/10366-1525955122-1597342?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,4me,Enterprise service management with SIAM support,"For details on how 4me helps organizations manage their compliance and risk, please visit: https://www.4me.com/blog/category/security-privacy/ ",4.71,14,$5
https://ga0.imgix.net/logo/o/2038339-1610377732-731569?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Legal Monster,Cloud-based privacy and consent management software,"Legal Monster is a cloud-based privacy and consent management software designed to help businesses ensure compliance with General Data Protection Regulation (GDPR), ePrivacy, and marketing requirements. Organizations can create customizable cookie pop-ups in multiple languages.",4.93,15,$29
https://ga0.imgix.net/logo/o/1996139-1599023873-097075?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,LexComply,"Cloud-based compliance, risk & litigation management system","LexComply is a cloud-based compliance management software designed to help organizations manage, monitor, and ensure alignment of IT, legal, financial, or operational processes with regulatory standards. Features include act and compliance library, reporting, escalations, and assessment scheduling.",5.0,9,
https://ga0.imgix.net/logo/o/108731-1500547134-033619?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Siteimprove,Website monitoring using intelligent automation,"Siteimprove transforms the way businesses manage & deliver their digital presence with complete visibilty on content quality, performance, and visitor behavior. ",4.57,28,
https://ga1.imgix.net/logo/o/114537-1543572926-3442435?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,iubenda,"Compliance software for websites, apps, & organizations","iubenda offers compliance software for websites, apps, and organizations with attorney-level solutions to help make websites and apps compliant with the law across multiple countries, languages and legislations, featuring remote and automatic updates handled by an international team of lawyers",4.81,99,$27
https://ga0.imgix.net/logo/o/100781-1478262908-2618341?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Prezi,Online presentation tool,"Prezi is an online presentation app which enables users to create, edit, & share dynamic presentations on any device, in both online & offline mode. ",4.55,1377,€7
https://ga0.imgix.net/logo/o/90952-1511436057-7908158?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Egnyte,Enterprise file sharing & content governance,"Egnyte is an enterprise file sharing & collaboration tool that allows users to securely access, share, & collaborate with colleagues & partners from any device. ",4.51,73,$8
https://ga1.imgix.net/logo/o/102207-1448376848-7088783?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,WISP HR Solution,Employee Onboarding and Engagement App,We use a combination of stable technological solutions and reliable security and privacy controlling methods to protect our customers’ data. ,4.85,13,
https://ga0.imgix.net/logo/o/91207-2583655086.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Yonyx,Decision tree driven Interactive guides for customer service,Create decision tree driven interactive guides for customer service that integrate with your CRM system & help improve consistency & quality of service. ,4.79,104,$100
https://ga1.imgix.net/logo/o/109883-1505998887-846481?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,TrackTik,Security Workforce Management Software,https://www.tracktik.com/guarding-suite/ ,4.15,75,$299
https://ga0.imgix.net/logo/o/1987447-1598809978-8343563?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Undelete,File protection and recovery software for Windows servers,"Undelete is a file recovery software designed to help businesses protect and retrieve missing files from desktops, Windows servers, and application servers including Microsoft Exchange and SharePoint. It captures previous versions of deleted and overwritten Word and Excel files in real-time.",4.67,15,$10
https://ga1.imgix.net/logo/o/182467-1595919042-1653035?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Successware,Business management software for the field service industry,"Successware is a business management system that helps businesses manage booking, accounting, sales, marketing, and other operations. The CRM module enables home service contractors to collect customer data including address, phone number, equipment condition, membership status, and repair history.",4.06,71,
https://ga1.imgix.net/logo/o/104041-1465309140-8302603?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Praxedo,Cloud-based field service software,"Praxedo is an easy-to-use, scalable, and cloud-based field service solution with the shortest implementation time. Its web and mobile applications enable real-time communication between the field and the office. ",4.61,41,$27.50
https://ga1.imgix.net/logo/o/20560-1411644866-573653?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Synchroteam,Field service management software. Live support. Free trial.,"Field service management (FSM) software for mobile workforce tracking. Features scheduling, dispatch, calendar, job management, invoicing and map. Live support. ",4.47,49,$22
https://ga1.imgix.net/logo/o/126723-1569851724-7339253?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Boxcryptor,End-to-end encryption for cloud storage providers.,Boxcryptor is an encryption software for the cloud that helps companies to be GDPR compliant. It offers audit and management features that allow teams to collaborate securely. Zero knowledge encryption ensures that all company data is securely protected from third-party access.,4.43,14,$48
https://ga0.imgix.net/logo/o/2038883-1612252423-0422845?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,NextGen Virtual Visits,HIPAA-compliant telemedicine software for healthcare centers,"NextGen Virtual Visits is a cloud-based telemedicine software, which enables healthcare centres to remotely connect with patients, schedule appointments, and improve chronic care management. ",5.0,1,
https://ga0.imgix.net/logo/o/114339-1570014209-4372997?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Fraxion,Cloud procure-to-pay software for the mid-market,"Fraxion, formerly eRequester provides cloud procurement software for efficient requisition-to PO and approval processes,  invoice approval and 3-way matching, budget control, expense management and spend analysis. ",4.14,35,
https://ga0.imgix.net/logo/o/106815-1490154909-6478415?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Lyra,Web-based mental health & emotional well being solution,Lyra is a web-based employee wellness solution that connects people with therapists to help them deal with behavioral and mental health issues. ,5.0,1,
https://ga0.imgix.net/logo/o/106421-1607340470-5638487?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,YayPay,Smart AR for Smart Teams,"YayPay is a cloud-based accounts receivable management & automation solution which offers real-time analytics, automated workflows, CRM functionality, and more. ",4.48,23,
https://ga1.imgix.net/logo/o/104263-1467122668-2214928?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Webinato,Interactive webinar platform,"High quality, interactive webinars for engaging online training, sales or marketing presentations within small to large organizations. ",4.64,14,$119
https://ga1.imgix.net/logo/o/106925-1527014867-4302237?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Invoice2go,Create & send professional invoices across every device,"Invoice2go allows business and independent users to create and send professional invoices via smartphone apps, while tracking expenses and accepting payments. ",3.72,69,$4.99
https://ga0.imgix.net/logo/o/110225-1507647930-202184?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,eyeson,Video meeting & collaboration experience for teams,"eyeson is a cloud-based communication app for video & web conferencing that supports YouTube & Facebook live streaming, integrations & mobile optimization. ",4.4,20,$9
https://ga0.imgix.net/logo/o/91418-1548440026-4817421?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Phone.com,Communicate Better,"Phone.com customers can enjoy our online meeting service that includes video conferencing, screen sharing, and chat. Our clientless solution means there's nothing to download so you can get your meeting started without any hassle. The solution is HIPAA compliant and secure.",3.97,38,$9.99
https://ga1.imgix.net/logo/o/131331-1584115899-9805028?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,BuildOps,All-in-one software for commercial MEP contractors,"BuildOps cloud-based, all-in-one field service management software streamlines the way commercial contractors do work. Key features include: user-friendly interface + mobile app; drag+drop scheduling/dispatch; gated workflows + custom forms; customer/asset management; PM + service agreements + more.",5.0,8,
https://ga1.imgix.net/logo/o/90892-1432372088-6162076?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Mobile Field Report,Field Service Management ,"Gives you full control of your service activities from everywhere. Optimized dispatching, simple customer management, easy field reporting. ",4.89,9,€29
https://ga1.imgix.net/logo/o/101781-1533112626-324527?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MVISION Cloud,Cloud security & enablement,"MVISION Cloud, formerly known as McAfee Skyhigh Security Cloud, is a cloud security software that gives companies more visibility into their cloud usage while ensuring data privacy & enforcing compliance policies. ",4.5,2,
https://ga0.imgix.net/logo/o/9698-1592324568-3691072?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Cisco Cloudlock,Cloud access security broker,"Cisco Cloudlock is an API-based cloud access security broker (CASB) that helps accelerate use of the cloud. It secures identities, data, and apps, and combats account compromises, breaches, and cloud app ecosystem risks. ",4.5,2,
https://ga1.imgix.net/logo/o/2037483-1609215240-395288?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Medics Telemedicine,Telemedicine solution for conduction video consultations,"Medics Telemedicine helps pharmacists, physiologists, and other medical professionals engage with patients across remote locations. The platform enables patients to connect with physicians via two-way audio-video calls using desktop, iOS or Android devices.",,,
https://ga1.imgix.net/logo/o/161411-1594107021-5780919?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Maiia,French-language agenda and teleconsultation platform,Maiia is an agenda management and teleconsultation platform for France-based health professionals. Agendas can be created and customized within the platform and teleconsultations can be realized with or without appointments. ,,,€69
https://ga1.imgix.net/logo/o/162491-1594200464-8967848?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Medaviz,French-language teleconsultation tool,"Medaviz is a teleconsultation solution for French healthcare professionals. Features of the platform include e-prescribing, remote treatment, payment processing, coordination with other health professionals, and appointment management. ",,,
https://ga1.imgix.net/logo/o/161503-1594114017-680167?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Livi,French-language teleconsultation solution for doctors,"Livi is a French-language teleconsultation solution for healthcare professionals. The platform offers features such as video conferencing, patient accounts, secure health data storage, electronic prescription management, and more. ",,,
https://ga0.imgix.net/logo/o/161507-1594121043-1404588?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MEDVU,French-language telemedicine solution,"MEDVU is a telemedicine solution, designed specifically for French-speaking doctors, nurses, and pharmacists, that includes features such as agenda management, videoconferencing, and remote assistance. MEDVU helps health professionals with scheduling follow-ups, advising patients, billing & more.",,,€300
https://ga0.imgix.net/logo/o/128127-1574234006-2784715?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,CommuniCloud Video,Web conferencing and meeting management software,"CommuniCloud is a cloud-based video conferencing solution, which assists companies, government bodies, and educational institutions with managing video conferences, online meetings, events, and more. Key features include recording, screen sharing, custom branding, secure connection, and scheduling.",3.5,2,$19.99
https://ga1.imgix.net/logo/o/103099-1579184504-9743822?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Planful,The FP&A Platform for Continuous Planning,"Cloud-based Financial Planning and Analysis (FP&A) software providing numerous tools to help with financial planning, modeling, and reporting. ",4.2,30,
https://ga0.imgix.net/logo/o/133231-1588848370-985738?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,QLM Costing,Cost estimating solution for creating accurate quotations,"QLM Costing is a cost estimating software designed to help manufacturers & distributors streamline the entire quotation lifecycle management process using built-in reporting tools. With detailed quotes, users can facilitate cost assumptions that can be modified according to individual requirements.",,,
https://ga1.imgix.net/logo/o/101217-1482248440-0392864?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,CustomShow,B2B Presentations for Teams,Host live online meetings with streaming HD Video. Includes viewing and attendance metrics. ,4.5,16,
https://ga1.imgix.net/logo/o/2058-1586934361-3296962?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Samba Live,"Webinars, web-conferencing & streaming management solution","Samba Live helps businesses schedule, launch and manage webinars/video conferences to streamline meetings, eLearning sessions, broadcasts, and more. The white-label capabilities let enterprises personalize the interface using custom colors, logos and fonts to establish brand identity with clients.",5.0,1,€49
https://ga1.imgix.net/logo/o/91659-1450741961-9607377?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,IntelligenceBank Boards,Electronic Board Meeting Software,"IntelligenceBank Boards is a seamless e-governance platform, making it easy to securely distribute board papers, manage versions, vote online, and audit usage.  Directors can read board packs online, offline and privately annotate board papers via our user-friendly web interface or iPad App.",5.0,1,$75
https://ga1.imgix.net/logo/o/91291-2147590713.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MeetingKing,More productive meetings. On-line and off-line.,More productive meetings with less effort. A lot of time is wasted in ineffective meetings as a result of limited preparation and no follow-up. MeetingKing helps you to have effective meetings by automating the administrative process from creating the agenda to writing the meeting minutes and managing a central task list.,5.0,1,$9.95
https://ga0.imgix.net/logo/o/161675-1594130361-55143?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MesDocteurs,French telemedicine platform for healthcare professionals,"MesDocteurs is a French telemedicine tool that can be used as a corporate healthcare solution. General practitioners and specialists can make themselves available to patients with or without appointments 24/7, and in less than 15 minutes. ",,,
https://ga1.imgix.net/logo/o/2037763-1608779992-8148?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Solarvista LIVE,Field service management tool for capturing customer details,"Solarvista LIVE is a field service management software designed to help businesses capture and store information related to assets, customers, pricing policies, and work orders in a centralized repository. It enables managers to share work instructions and service level agreements with team members.",5.0,2,£19
https://ga1.imgix.net/logo/o/101761-1437379782-9166014?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Netskope,Safe cloud enablement solution,Netskope is an application designed to help companies secure their complete cloud app infrastructure. ,4.5,2,
https://ga1.imgix.net/logo/o/2036771-1607503353-4934487?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,cContact,Tool for video calling between clients and care providers,"With cContact, clients can contact their care providers quickly and easily by means of a video consultation. This means that clients are not dependent on personal contact for the time at which the care provider comes to visit them. The video calls can be made via multiple devices.",,,
https://ga1.imgix.net/logo/o/153479-1593425430-3303144?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,sprechstunde.online,Video consultation solution for medical professionals,"sprechstunde.online is a web-based, German-language video consultation solution for medical professionals including doctors, therapists, and nurses. The platform offers chat functionality, video conferencing, file transfer and download, doctor profiles, appointment management, and more.",,,€9.90
https://ga0.imgix.net/logo/o/1795167-1597908626-8940692?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Zaurus,Telemedicine software with a digital assistant,"Zaurus helps healthcare organizations schedule and manage video consultation sessions with remote patients. The digital consultation rooms enable medical professionals to engage with patients through video calls, handle peer consultation, and share screen and reports with other healthcare experts.",,,
https://ga1.imgix.net/logo/o/143111-1592486279-2023134?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,iMedicina,Medical patient relationship software,"iMedicina is a Portuguese-language medical patient relationship tool for medical practices in Brazil. The software includes post-consultation management, telemedicine, medical records management, appointment scheduling, financial management, email and SMS marketing, prescribing, and more.",,,
https://ga1.imgix.net/logo/o/131483-1584936740-0590997?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Vivify Health,Remote patient monitoring and wellness management platform,Vivify Health is a remote patient monitoring solution that helps medical institutions create & manage custom wellness programs for patients with chronic & post-acute illnesses. Care managers can conduct pre-operative assessments & patients are reminded about upcoming appointments via notifications.,,,
https://ga1.imgix.net/logo/o/126935-1570698377-9955947?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Rompslomp,"Accounting, billing and invoicing solution","Rompslomp is a Dutch accounting software designed to help freelancers manage and streamline invoicing, billing, customer data and more. The centralized platform allows self-employed professionals to utilize customizable layouts to create offers and convert quotations into invoices.",,,€5
https://ga0.imgix.net/logo/o/132507-1587034780-268676?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Virtual Care Management,Telemedicine and remote patient monitoring platform,"Virtual Care Management is a remote patient monitoring platform for medical practitioners to oversee patient conditions and treatments. Features include clinical workflows, appointment scheduling, custom reports, video consultations, billing, diagnostic device integration, mobile web app, and more.",,,
https://ga1.imgix.net/logo/o/90624-792982248.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,eBLVD Online Meetings,Get More Sales and Projects Done in Less Time,"Effortless online meetings and web demos with easy screen sharing. eBLVD's focus on simplicity, clarity, and ease of use make it truly unique. Best of all, the 1-to-1 version is FREE! ",,,$49
https://ga0.imgix.net/logo/o/153823-1593453983-63308?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Telemedicina Morsch,Brazilian Telemedicine solution,"Telemedicina Morsch is a Brazilian cloud-based telemedicine platform that offers organizations within the healthcare industry the tools to manage teleconsultations. The solution provides EMR management, reporting and statistics, payment processing, and virtual waiting rooms.",,,
https://ga0.imgix.net/logo/o/2039383-1612922103-9559133?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Showfloor,Virtual event software for hosting trade shows & exhibitions,"Showfloor is a virtual event software designed to help businesses host online trade shows, exhibitions, job fairs, and other events using a desktop, tablet, or other mobile devices. Attendees can create connections and discover exhibitors, products, or services.",,,$1
https://ga0.imgix.net/logo/o/131463-1585065447-45814?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Mezzanine,Visual collaboration and web-conferencing solution,"Mezzanine is a cloud-based video conferencing solution designed to help businesses organize team meetings across multiple locations. Features include real-time content sharing, a collaborative workspace, optical tracking, annotations, data synchronization, and multi-device access.",,,
https://ga1.imgix.net/logo/o/127027-1571206883-6894379?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,FIREBusinessPlatform,Customer relationship management solution for SMEs,"FIREBusinessPlatform is a business management solution, which helps small to midsize businesses manage customer support services, marketing automation, collaboration, & more. It enables organizations to interact with potential, as well as current, clients to improve sales & customer satisfaction.",,,$9.99
https://ga1.imgix.net/logo/o/131947-1605665997-3340492?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Evercast,Video conferencing/live streaming platform for creative pros,"Video conference while streaming your live work sessions in HD with full-spectrum audio and ultra low latency. With a toolbox made for creative collaboration, Evercast offers enhanced productivity and efficiency for virtual team meetings. ",,,$999
https://ga1.imgix.net/logo/o/801-1602792140-3999984?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Wintac,"Wintac is sunsetting January 31, 2022",Wintac will no longer be maintained after January 2022. The FieldEdge team is here to support your next step: https://fieldedge.com/wintac. ,4.19,690,
https://ga0.imgix.net/logo/o/111023-1511280252-822841?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,GorillaDesk,Service management for pest control & other field services,"Running a Field Service company is hard work. With free training & simple setup, organizing your business during your 14-day free trial of GorillaDesk is easy! ",4.82,221,$49
https://ga0.imgix.net/logo/o/131767-1585212316-2231536?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Q4,Cloud-based investor relations solutions,"Q4 offers cloud-based investor relations solutions for websites, video conferencing, virtual events, IR CRM, investor targeting & intelligence. ",,,
https://ga1.imgix.net/logo/o/128523-1575365804-4183002?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Turbot,Cloud integration platform for managing digital resources,"Turbot is a cloud governance solution that allows enterprises to integrate with Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform to manage digital resources, control software, maintain compliance, and develop cloud-based applications.",,,
https://ga0.imgix.net/logo/o/2036167-1606802404-316117?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Your Secure Cloud,German software for secure cloud storage & sharing of data,Your Secure Cloud  is the secure sync & share solution from germany with end-to-end encryption with options for white label and much more enterprise-features. ,,,€4
https://ga0.imgix.net/logo/o/113941-1537452944-0531964?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,ArcGIS,Mapping & analytics system for visualizing data by location,"ArcGIS by Esri is an integrated suite of geographic information system (GIS) software, providing a compliant platform for spatial analysis, data management, and mapping, with ArcGIS Online offering a web-based solution accessible anywhere, anytime for the creation & sharing of 3D map visualizations",4.56,369,
https://ga0.imgix.net/logo/o/114703-1547122381-5977662?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Workorders,Work order ticketing system for small and mid-sized business,"Workorders is a cloud-based service management software for SMB’s and contractors, giving technicians and field staff access to centralized customer records tracking, appointment scheduling, work order creation, email notifications, payment processing and data syncing across devices including mobile",,,$39
https://ga1.imgix.net/logo/o/276927-1597296769-566971?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,SupplyPro GM,Supply chain and field service management software,"SupplyPro GM helps suppliers and general and specialty contractors streamline the entire work order lifecycle and handle information exchange and monitoring of projects in real-time. Users can create work orders, add customer details, notes, and reminders, and generate sales quotes or estimates.",,,
https://ga1.imgix.net/logo/o/128711-1583853599-6273198?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Persat,Service dispatch and mobile resource management solution,"Persat is a cloud-based field service management solution designed to help businesses manage operations related to logistics, distribution, service dispatch, maintenance and more. The platform allows technicians to use the coordination calendar to create, schedule, and assign jobs to operators.",,,
https://ga0.imgix.net/logo/o/91179-1418922985-331159?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,mHelpDesk,Win more jobs and grow your business with mHelpDesk!,"Field service teams can use mHelpDesk to create work orders, estimates & invoices, track jobs & service requests, dispatch technicians, and more. ",4.31,794,
https://ga0.imgix.net/logo/o/90844-1589902367-8074207?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Dynamics 365,ERP and CRM applications from Microsoft,"Microsoft Dynamics 365 is a multi-language, multi-currency enterprise resource planning (ERP) software. The solution is designed for midsize and larger companies, and is fully customizable and extensible through its rich development platform and tools.",4.31,4090,$115
https://ga1.imgix.net/logo/o/130319-1581479545-733533?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Pandell Jobutrax,Field service solution for automated ticketing,"Pandell Jobutrax is a cloud-based field service management platform that helps businesses in the oil & gas industry automate ticketing processes. It enables users to create new tickets with details including name, contact information, internal ID, location, and critical comments.",,,
https://ga1.imgix.net/logo/o/2037547-1608189888-4405189?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Ogun,Field service management software for contractors,"Ogun is a field service management software that helps contractors and construction site workers manage documents, images, meetings, and messages on a unified dashboard. The solution allows managers to create and manage job tasks, follow-ups, and pending orders to streamline project management.",,,
https://ga1.imgix.net/logo/o/130499-1581518325-9623332?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MIMS,Field service and facility management software,"MIMS is a field service management software that is designed for businesses in telecommunications, hospitality, logistics, maritime, law enforcement, and other industries. It helps organizations manage incidents, schedules, assets, approvals, assignments, and more from within a centralized platform.",,,$35
https://ga1.imgix.net/logo/o/167355-1595307566-1459525?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MaintStar Land Management,Land management software for government agencies,"MaintStar Land Management is a cloud-based software designed to help government agencies automate administrative tasks such as code enforcement, license management, inspections, land planning, permitting, data exchange, form generation, and more on a centralized platform.",,,
https://ga0.imgix.net/logo/o/2034539-1602055574-63193?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,IntouchCheck,"Mobile forms for inspections, audits, field reports & more","IntouchCheck is a cloud-based forms automation solution that allows businesses to conduct inspections, audits, field reports & more, anywhere, on any device. The platform helps businesses implement operational procedures for health & safety, compliance, or general business management.",,,$19.99
